"Var.1","Name","Time","Year","Var.5","Race","Beer","beer_url","name_url","event_url","event_name","event_location","event_date","minute","seconds","total_time_in_secs"
54,"Brian Anderson","5:05.2",2015,NA,"Bloomington, MNBeer Mile World Classic P...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Brian+Anderson","https://www.beermile.com/display/event_6466","Beer Mile World Classic Prep","Bloomington, MN","August 9, 2015",5,5.2,305.2
55,"Joshua Harris","5:05.6",2016,NA,"Austin, TX, United States2016 FloTrack Beer Mile W...","Bud Light Platinum","https://www.beermile.com/records/ref_beer/beertype_Bud+Light+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Joshua+Harris","https://www.beermile.com/display/event_150438","2016 FloTrack Beer Mile World Championships","Austin, TX, United States","December 17, 2016",5,5.6,305.6
56,"Lewis Kent","5:05.6",2015,NA,"Toronto, ONToronto Spring Beer Mile ...","Amsterdam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amsterdam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lewis+Kent","https://www.beermile.com/display/event_6307","Toronto Spring Beer Mile 2015","Toronto, ON","April 25, 2015",5,5.6,305.6
57,"Josh Harris","5:06",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Molson Canadian","https://www.beermile.com/records/ref_beer/beertype_Molson+Canadian","https://www.beermile.com/query_indy/submit_1/ref_query/name_Josh+Harris","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",5,6,306
58,"Michael Johnson","5:06",2015,NA,"Austin, TX, United StatesFloTrack 2015 Championshi...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Michael+Johnson","https://www.beermile.com/display/event_6606","FloTrack 2015 Championships, Men's Elite","Austin, TX, United States","December 1, 2015",5,6,306
59,"Michael Johnson","5:06.3",2016,NA,"London, England, United K...Beer Mile World Classic M...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Michael+Johnson","https://www.beermile.com/display/event_150301","Beer Mile World Classic Men's Section 2","London, England, United Kingdom","July 31, 2016",5,6.3,306.3
60,"Emil ""2.5"" Granqvist","5:06.9",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Presidente","https://www.beermile.com/records/ref_beer/beertype_Presidente","https://www.beermile.com/query_indy/submit_1/ref_query/name_Emil+""2.5""+Granqvist","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019",5,6.9,306.9
61,"Jim Finlayson","5:07",2015,NA,"Victoria, BC, CanadaFinlayson Time Trial 2015","Amderstam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amderstam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jim+Finlayson","https://www.beermile.com/display/event_6504","Finlayson Time Trial 2015","Victoria, BC, Canada","September 5, 2015",5,7,307
62,"Garret Cullen","5:07.5",2017,NA,"Kezar  Stadium San Franci...San Francisco Delta's Inv...","Bud Light Platinum","https://www.beermile.com/records/ref_beer/beertype_Bud+Light+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Garret+Cullen","https://www.beermile.com/display/event_151109","San Francisco Delta's Invitational","Kezar  Stadium San Francisco CA","October 28, 2017",5,7.5,307.5
63,"Jim Finlayson","5:07.66",2016,NA,"London, England, United K...Beer Mile World Classic M...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jim+Finlayson","https://www.beermile.com/display/event_150301","Beer Mile World Classic Men's Section 2","London, England, United Kingdom","July 31, 2016",5,7.66,307.66
